observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
2023-08-23,3411,14,-28,N14W28,169,171,40,Hsx,3,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-17T15:49:07,99,0
2023-08-23,3412,30,8,N30E08,133,135,50,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,100,0
2023-08-23,3413,10,46,N10E46,95,95,280,Fho,17,6,B,,f,3,0,0,,3,0,0,0,0,0,55,10,1,1,2023-08-21T09:24:33,101,0
2023-08-23,3414,-11,5,S11E05,136,136,10,Axx,2,2,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-21T17:59:31,102,0
2023-08-23,3415,-11,62,S11E62,79,81,350,Dho,10,3,B,,f,0,0,0,,0,0,0,0,0,,40,5,1,1,2023-08-22T19:19:32,103,0
2023-08-22,3403,24,-91,N24W91,245,243,,,,,,,d,0,0,0,,0,0,0,0,0,,1,1,1,1,2023-08-13T17:20:32,104,0
2023-08-22,3404,-12,-47,S12W47,202,201,10,Axx,2,2,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-13T21:58:28,105,0
2023-08-22,3405,9,-33,N09W33,188,187,110,Cso,4,3,B,,f,2,1,0,,2,0,0,0,0,0,10,1,1,1,2023-08-14T18:42:41,106,0
2023-08-22,3407,-19,-71,S19W71,226,225,30,Cso,2,1,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-15T10:10:05,107,0
2023-08-22,3408,-18,-88,S18W88,243,242,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:38:34,108,0
2023-08-22,3409,22,-98,N22W98,253,252,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:39:16,109,0
2023-08-22,3411,12,-16,N12W16,171,170,40,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-17T15:49:07,110,0
2023-08-22,3412,31,20,N31E20,135,134,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,111,0
2023-08-22,3413,9,60,N09E60,95,94,200,Hsx,6,3,A,,f,1,0,0,,1,0,0,0,0,0,5,1,1,1,2023-08-21T09:24:33,112,0
2023-08-22,3414,-8,19,S08E19,136,135,10,Axx,1,4,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-21T17:59:31,113,0
2023-08-22,3415,-9,74,S09E74,81,,240,Hax,5,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-22T19:19:32,114,0
2023-08-21,3403,26,-75,N26W75,243,242,110,Cso,4,3,B,,f,1,0,0,,2,0,0,0,0,0,15,1,1,1,2023-08-13T17:20:32,115,0
2023-08-21,3404,-11,-33,S11W33,201,201,20,Cao,1,2,B,,f,0,0,0,,0,0,0,0,0,0,20,1,1,1,2023-08-13T21:58:28,116,0
2023-08-21,3405,10,-20,N10W20,187,185,110,Hsx,3,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-14T18:42:41,117,0
2023-08-21,3406,-16,-104,S16W0*,272,272,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-15T10:09:23,118,0
2023-08-21,3407,-19,-58,S19W58,225,226,120,Dai,4,8,B,,f,0,0,0,,0,0,0,0,0,,45,5,1,1,2023-08-15T10:10:05,119,0
2023-08-21,3408,-18,-74,S18W74,242,242,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:38:34,120,0
2023-08-21,3409,22,-84,N22W84,252,252,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:39:16,121,0
2023-08-21,3410,-30,-103,S30W0*,271,271,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:39:51,122,0
2023-08-21,3411,13,-3,N13W03,170,171,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-17T15:49:07,123,0
2023-08-21,3412,30,34,N30E34,134,137,70,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,124,0
2023-08-21,3413,10,73,N10E73,94,,150,Hsx,3,1,A,,f,1,0,0,,2,0,0,0,0,0,5,1,1,1,2023-08-21T09:24:33,125,0
2023-08-21,3414,-9,32,S09E32,135,,20,Cro,2,5,B,,f,0,0,0,,0,0,0,0,0,,15,1,1,1,2023-08-21T17:59:31,126,0
2023-08-20,3403,27,-61,N27W61,242,242,120,Cso,10,7,B,,f,0,0,0,,0,0,0,0,0,,20,5,0,0,2023-08-13T17:20:32,127,0
2023-08-20,3404,-10,-20,S10W20,201,201,0,Axx,0,1,A,,f,0,0,0,,0,0,0,0,0,,5,0,0,0,2023-08-13T21:58:28,128,0
2023-08-20,3405,9,-4,N09W04,185,183,90,Cso,6,2,B,,f,0,0,0,,0,0,0,0,0,,15,0,0,0,2023-08-14T18:42:41,129,0
2023-08-20,3406,-16,-90,S16W90,272,270,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-15T10:09:23,130,0
2023-08-20,3407,-18,-45,S18W45,226,226,180,Dai,6,8,B,,f,0,0,0,,0,0,0,0,0,,50,10,0,0,2023-08-15T10:10:05,131,0
2023-08-20,3408,-18,-60,S18W60,242,241,,,,,,,,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:38:34,132,0
2023-08-20,3409,22,-70,N22W70,252,250,10,Bxo,4,3,B,,f,1,0,0,,1,0,0,0,0,0,10,0,0,0,2023-08-16T18:39:16,133,0
2023-08-20,3410,-30,-89,S30W89,271,270,,,,,,,f,1,0,0,,0,0,0,0,0,0,0,0,0,0,2023-08-16T18:39:51,134,0
2023-08-20,3411,13,10,N13E10,171,171,50,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-17T15:49:07,135,0
2023-08-20,3412,30,44,N30E44,137,136,40,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-18T17:47:24,136,0
2023-08-19,3399,-15,-104,S15W0*,299,298,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-09T07:25:33,137,0
2023-08-19,3403,27,-48,N27W48,242,243,120,Dsi,10,8,B,,f,2,0,0,,1,0,0,0,0,0,50,10,0,0,2023-08-13T17:20:32,138,0
2023-08-19,3404,-10,-7,S10W07,201,201,10,Hrx,1,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-13T21:58:28,139,0
2023-08-19,3405,9,11,N09E11,183,183,100,Cso,12,2,B,,f,0,0,0,,0,0,0,0,0,,15,0,0,0,2023-08-14T18:42:41,140,0
2023-08-19,3406,-16,-76,S16W76,270,269,0,,0,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-15T10:09:23,141,0
2023-08-19,3407,-18,-32,S18W32,226,223,110,Dao,6,4,B,,f,0,0,0,,0,0,0,0,0,,30,5,0,0,2023-08-15T10:10:05,142,0
