observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
2023-08-17,3407,-18,-4,S18W04,225,225,200,Dsi,7,8,B,,f,0,0,0,,0,0,0,0,0,,20,5,1,1,2023-08-15T10:10:05,119,0
2023-08-17,3408,-18,-18,S18W18,239,237,10,Bxo,2,3,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-16T18:38:34,120,0
2023-08-17,3409,21,-30,N21W30,251,251,20,Cro,3,7,B,,f,1,0,0,,3,0,0,0,0,0,10,1,1,1,2023-08-16T18:39:16,121,0
2023-08-17,3410,-30,-48,S30W48,269,269,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,0,0,0,2023-08-16T18:39:51,122,0
2023-08-17,3411,14,54,N14E54,167,,70,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,0,0,0,2023-08-17T15:49:07,123,0
2023-08-16,3395,12,-101,N12W0*,336,334,10,Axx,8,2,A,,d,1,0,0,,0,0,0,0,0,0,0,0,0,0,2023-08-03T18:05:48,124,0
2023-08-16,3397,16,-70,N16W70,304,305,90,Dso,5,2,B,,f,0,0,0,,0,0,0,0,0,,20,5,1,1,2023-08-07T07:57:40,125,0
2023-08-16,3399,-15,-62,S15W62,297,296,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-09T07:25:33,126,0
2023-08-16,3400,-14,-76,S14W76,311,310,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-11T08:38:18,127,0
2023-08-16,3402,-18,-89,S18W89,324,323,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-13T10:11:13,128,0
2023-08-16,3403,22,-9,N22W09,243,242,260,Dko,8,12,B,,f,5,0,0,,3,0,0,0,0,0,40,10,5,1,2023-08-13T17:20:32,129,0
2023-08-16,3404,-11,34,S11E34,199,201,50,Hsx,1,2,A,,f,0,0,0,,1,0,0,0,0,0,5,1,1,1,2023-08-13T21:58:28,130,0
2023-08-16,3405,10,51,N10E51,182,181,180,Fso,16,5,B,,f,1,0,0,,1,0,0,0,0,0,40,10,1,1,2023-08-14T18:42:41,131,0
2023-08-16,3406,-18,-32,S18W32,266,265,10,Bxo,4,4,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-15T10:09:23,132,0
2023-08-16,3407,-22,9,S22E09,225,224,190,Dso,6,7,B,,f,0,0,0,,0,0,0,0,0,,20,5,1,1,2023-08-15T10:10:05,133,0
2023-08-16,3408,-18,-3,S18W03,237,,10,Bxo,3,5,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-16T18:38:34,134,0
2023-08-16,3409,21,-17,N21W17,251,,30,Cro,4,9,B,,f,0,0,0,,0,0,0,0,0,,15,1,1,1,2023-08-16T18:39:16,135,0
2023-08-16,3410,-30,-34,S30W34,269,,10,Bxo,4,4,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-16T18:39:51,136,0
2023-08-15,3394,-24,-95,S24W95,343,342,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-03T18:00:50,137,0
2023-08-15,3395,12,-87,N12W87,334,331,10,Axx,8,2,A,,f,1,0,0,,2,0,0,0,0,0,5,1,1,1,2023-08-03T18:05:48,138,0
2023-08-15,3397,18,-58,N18W58,305,304,60,Dso,7,2,B,,f,0,0,0,,3,0,0,0,0,0,20,5,1,1,2023-08-07T07:57:40,139,0
2023-08-15,3399,-15,-48,S15W48,296,295,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-09T07:25:33,140,0
2023-08-15,3400,-14,-62,S14W62,310,309,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-11T08:38:18,141,0
2023-08-15,3401,25,-101,N25W0*,349,348,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-11T08:38:50,142,0
2023-08-15,3402,-18,-75,S18W75,323,321,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-13T10:11:13,143,0
