time_tag,active,source,proton_speed,proton_temperature,proton_density,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_sample_size,alpha_speed,alpha_temperature,alpha_density,alpha_vx_gse,alpha_vy_gse,alpha_vz_gse,alpha_vx_gsm,alpha_vy_gsm,alpha_vz_gsm,alpha_sample_size,max_convergence_flag,max_data_flag,max_error_count_flag,max_processing_flag,max_range_flag,max_sample_count_flag,max_telemetry_flag,overall_quality,record_Id,record_Id_0
2023-08-15T05:35:00,false,DSCOVR,315,17093,9.08,-314.4,18.9,1.5,-314.4,18.3,-5.2,13,,,,,,,,,,,0,0,0,0,0,0,0,0,54,0
2023-08-15T05:34:00,false,DSCOVR,313.8,16778,9.16,-313.4,15.8,0.7,-313.4,15,-4.9,12,,,,,,,,,,,0,0,0,0,0,0,0,0,55,0
2023-08-15T05:34:00,true,ACE,,,4.39,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,56,0
2023-08-15T05:33:00,false,DSCOVR,312.5,16444,9.24,-312,16.1,0.2,-312,15.2,-5.4,10,,,,,,,,,,,0,0,0,0,0,0,0,0,57,0
2023-08-15T05:33:00,true,ACE,321.2,27306,4.39,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,58,0
2023-08-15T05:32:00,true,ACE,322,27439,4.15,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,59,0
2023-08-15T05:32:00,false,DSCOVR,311.5,15382,9.27,-310.6,23,-1.9,-310.6,20.9,-9.7,9,,,,,,,,,,,0,0,0,0,0,0,0,0,60,0
2023-08-15T05:31:00,true,ACE,318.7,27647,4.64,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,61,0
2023-08-15T05:31:00,false,DSCOVR,311,13955,9.15,-310.1,23.6,-1.8,-310.1,21.5,-9.8,10,,,,,,,,,,,0,0,0,0,0,0,0,0,62,0
2023-08-15T05:30:00,true,ACE,319.9,31439,4.64,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,63,0
2023-08-15T05:30:00,false,DSCOVR,312,16328,9.45,-311.4,19.6,1.2,-311.4,18.8,-5.7,12,,,,,,,,,,,0,0,0,0,0,0,0,0,64,0
2023-08-15T05:29:00,false,DSCOVR,311.4,14334,9.21,-310.5,23.3,-0.9,-310.5,21.6,-8.9,12,,,,,,,,,,,0,0,0,0,0,0,0,0,65,0
2023-08-15T05:29:00,true,ACE,313.4,30044,4.26,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,66,0
2023-08-15T05:28:00,true,ACE,313.2,29271,4.22,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,67,0
2023-08-15T05:28:00,false,DSCOVR,310.5,13728,9.07,-309.2,27.5,-6.7,-309.2,23.6,-15.7,12,,,,,,,,,,,0,0,0,0,0,0,0,0,68,0
2023-08-15T05:27:00,false,DSCOVR,310.5,13802,9.14,-309.2,27.7,-7.7,-309.2,23.4,-16.7,12,,,,,,,,,,,0,0,0,0,0,0,0,0,69,0
2023-08-15T05:27:00,true,ACE,310.9,26090,4.97,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,70,0
2023-08-15T05:26:00,true,ACE,311.3,23535,4.92,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,71,0
2023-08-15T05:26:00,false,DSCOVR,310.5,13824,9.06,-309.3,26.9,-5.6,-309.3,23.3,-14.4,12,,,,,,,,,,,0,0,0,0,0,0,0,0,72,0
2023-08-15T05:25:00,false,DSCOVR,310.7,13774,8.81,-309.4,27.6,-5.9,-309.4,24,-15,10,,,,,,,,,,,0,0,0,0,0,0,0,0,73,0
2023-08-15T05:25:00,true,ACE,311,25722,4.37,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,74,0
2023-08-15T05:24:00,false,DSCOVR,310.4,13846,8.93,-309,28.1,-5.9,-309,24.4,-15.2,9,,,,,,,,,,,0,0,0,0,0,0,0,0,75,0
2023-08-15T05:24:00,true,ACE,309.5,25862,4.79,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,76,0
2023-08-15T05:23:00,true,ACE,309.6,22989,5.51,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,77,0
2023-08-15T05:23:00,false,DSCOVR,308.6,16360,9.35,-307.2,27.9,-7.1,-307.2,23.8,-16.1,12,,,,,,,,,,,0,0,0,0,0,0,0,0,78,0
2023-08-15T05:22:00,true,ACE,309.2,22922,5.44,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,79,0
2023-08-15T05:22:00,false,DSCOVR,307.8,17904,9.36,-306.3,29.4,-7.2,-306.3,25.2,-16.8,10,,,,,,,,,,,0,0,0,0,0,0,0,0,80,0
2023-08-15T05:21:00,false,DSCOVR,307,18022,9.3,-305.4,30.3,-10.4,-305.4,25,-20.1,9,,,,,,,,,,,0,0,0,0,0,0,0,0,81,0
2023-08-15T05:21:00,true,ACE,308.9,22870,5.55,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,82,0
2023-08-15T05:20:00,false,DSCOVR,306.9,17884,9.26,-305.5,29.1,-6.5,-305.5,25.2,-16,10,,,,,,,,,,,0,0,0,0,0,0,0,0,83,0
2023-08-15T05:20:00,true,ACE,308.4,24638,5.53,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,84,0
2023-08-15T05:19:00,true,ACE,308.6,22931,5.22,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,85,0
2023-08-15T05:19:00,false,DSCOVR,307.1,17882,9.29,-305.7,28.8,-6.2,-305.7,25,-15.6,12,,,,,,,,,,,0,0,0,0,0,0,0,0,86,0
2023-08-15T05:18:00,true,ACE,310,22645,5.43,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,87,0
2023-08-15T05:18:00,false,DSCOVR,306.4,18157,9.39,-304.9,30.7,-4.2,-304.9,27.4,-14.3,12,,,,,,,,,,,0,0,0,0,0,0,0,0,88,0
2023-08-15T05:17:00,false,DSCOVR,306.2,17878,9.47,-304.7,29.9,-4.1,-304.7,26.8,-13.9,11,,,,,,,,,,,0,0,0,0,0,0,0,0,89,0
2023-08-15T05:17:00,true,ACE,310.7,26179,5.78,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,90,0
2023-08-15T05:16:00,false,DSCOVR,305.2,17872,9.4,-303.5,31.6,-4.2,-303.5,28.4,-14.5,10,,,,,,,,,,,0,0,0,0,0,0,0,0,91,0
2023-08-15T05:16:00,true,ACE,309.9,23849,4.98,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,92,0
2023-08-15T05:15:00,true,ACE,311.7,24530,4.57,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,93,0
2023-08-15T05:15:00,false,DSCOVR,305.2,18087,9.26,-303.5,31.9,-3.2,-303.5,29,-13.7,12,,,,,,,,,,,0,0,0,0,0,0,0,0,94,0
2023-08-15T05:14:00,false,DSCOVR,305,18133,9.04,-303.3,31.6,-3.3,-303.3,28.7,-13.7,14,,,,,,,,,,,0,0,0,0,0,0,0,0,95,0
2023-08-15T05:14:00,true,ACE,311.9,25851,4.85,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,96,0
