time_tag,Obsdate,Obstime,Station,Observatory,Type,Quality,Region,Latitude,Report_Longitude,Longitude,Report_Location,Location,Carlon,Extent,Area,Numspot,Zurich,Penumbra,Compact,Spotclass,Magcode,Magclass,Obsid,Report_Status,ValidSpotClass,record_Id,record_Id_0
2023-08-06T15:44:00,2023-08-06T00:00:00,1544,72269,HOL,spt,3,,19,69,64,N19E69,N19E64,302,1,20,1,1,0,1,Axx,1,A,316,2,1,62,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3386,9,-76,-87,N09W76,N09W87,93,5,120,3,3,3,2,Cao,2,B,265,2,1,63,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3387,21,-52,-63,N21W52,N21W63,69,4,30,5,4,2,2,Dso,2,B,266,2,1,64,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3388,-24,-59,-70,S24W59,S24W70,76,0,0,1,1,0,1,Axx,1,A,267,2,1,65,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3391,24,-17,-28,N24W17,N24W28,34,2,40,1,7,2,1,Hsx,1,A,271,2,1,66,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3392,9,-24,-35,N09W24,N09W35,41,5,50,6,3,3,2,Cao,2,B,274,2,1,67,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3394,-22,34,23,S22E34,S22E23,343,4,50,2,3,3,2,Cao,2,B,277,2,1,68,0
2023-08-06T05:25:00,2023-08-06T00:00:00,0525,16320,SVI,spt,2,3395,15,48,37,N15E48,N15E37,329,8,40,5,3,2,2,Cso,2,B,279,2,1,69,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3386,11,-66,-71,N11W66,N11W71,91,4,440,12,4,5,3,Dki,5,BD,300,2,1,70,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3387,24,-46,-51,N24W46,N24W51,71,3,180,10,4,3,3,Dai,2,B,301,2,1,71,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3388,-24,-52,-57,S24W52,S24W57,77,1,20,1,1,0,1,Axx,1,A,311,2,1,72,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3391,24,-16,-21,N24W16,N24W21,41,11,140,8,3,3,2,Cao,2,B,307,2,1,73,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3392,10,-8,-13,N10W08,N10W13,33,10,260,31,3,5,3,Cki,2,B,309,2,1,74,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3394,-20,38,33,S20E38,S20E33,347,11,530,10,3,5,2,Cko,2,B,312,2,1,75,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,3395,15,53,48,N15E53,N15E48,332,6,280,11,4,3,2,Dao,2,B,313,2,1,76,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,,-20,-14,-19,S20W14,S20W19,39,3,20,4,2,0,2,Bxo,2,B,314,2,1,77,0
2023-08-05T15:32:00,2023-08-05T00:00:00,1532,72269,HOL,spt,3,,24,30,25,N24E30,N24E25,355,2,40,4,2,0,2,Bxo,2,B,315,2,1,78,0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3386,10,-68,-76,N10W68,N10W76,95,4,170,4,4,5,2,Dko,2,B,265,2,1,79,0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3387,21,-41,-49,N21W41,N21W49,68,3,30,3,3,2,2,Cso,2,B,266,2,1,80,0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3388,-23,-49,-57,S23W49,S23W57,76,1,20,1,7,2,1,Hsx,1,A,267,2,1,81,0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3391,23,-7,-15,N23W07,N23W15,34,2,40,2,3,2,2,Cso,2,B,271,2,1,82,0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3392,10,-12,-20,N10W12,N10W20,39,7,100,8,4,3,2,Dao,2,B,274,2,1,83,0
