time_tag,frequency,flux,reporting_schedule,avg_begin_date,ninety_day_mean,rec_count,record_Id,record_Id_0
2023-08-11T17:00:00,2800,155,Morning,,,,77,0
2023-08-10T22:00:00,2800,158,Afternoon,,,,78,0
2023-08-10T20:00:00,2800,156,Noon,2023-05-13T20:00:00,166,90,79,0
2023-08-10T17:00:00,2800,160,Morning,,,,80,0
2023-08-09T22:00:00,2800,151,Afternoon,,,,81,0
2023-08-09T20:00:00,2800,153,Noon,2023-05-12T20:00:00,166,90,82,0
2023-08-09T17:00:00,2800,153,Morning,,,,83,0
2023-08-08T22:00:00,2800,158,Afternoon,,,,84,0
2023-08-08T20:00:00,2800,159,Noon,2023-05-11T20:00:00,166,90,85,0
2023-08-08T17:00:00,2800,157,Morning,,,,86,0
2023-08-07T22:00:00,2800,173,Afternoon,,,,87,0
2023-08-07T20:00:00,2800,170,Noon,2023-05-10T20:00:00,166,90,88,0
2023-08-07T17:00:00,2800,169,Morning,,,,89,0
2023-08-06T22:00:00,2800,169,Afternoon,,,,90,0
2023-08-06T20:00:00,2800,174,Noon,2023-05-09T20:00:00,166,90,91,0
2023-08-06T17:00:00,2800,167,Morning,,,,92,0
2023-08-05T22:00:00,2800,204,Afternoon,,,,93,0
2023-08-05T20:00:00,2800,176,Noon,2023-05-08T20:00:00,166,90,94,0
2023-08-05T17:00:00,2800,171,Morning,,,,95,0
2023-08-04T22:00:00,2800,170,Afternoon,,,,96,0
2023-08-04T20:00:00,2800,171,Noon,2023-05-07T20:00:00,166,90,97,0
2023-08-04T17:00:00,2800,166,Morning,,,,98,0
2023-08-03T22:00:00,2800,166,Afternoon,,,,99,0
2023-08-03T20:00:00,2800,163,Noon,2023-05-06T20:00:00,166,90,100,0
2023-08-03T17:00:00,2800,165,Morning,,,,101,0
2023-08-02T22:00:00,2800,168,Afternoon,,,,102,0
2023-08-02T20:00:00,2800,173,Noon,2023-05-05T20:00:00,166,90,103,0
2023-08-02T17:00:00,2800,170,Morning,,,,104,0
2023-08-01T22:00:00,2800,172,Afternoon,,,,105,0
2023-08-01T20:00:00,2800,175,Noon,2023-05-04T20:00:00,165,90,106,0
2023-08-01T17:00:00,2800,174,Morning,,,,107,0
2023-07-31T22:00:00,2800,181,Afternoon,,,,108,0
2023-07-31T20:00:00,2800,177,Noon,2023-05-03T20:00:00,165,90,109,0
2023-07-31T17:00:00,2800,177,Morning,,,,110,0
2023-07-30T22:00:00,2800,170,Afternoon,,,,111,0
2023-07-30T20:00:00,2800,174,Noon,2023-05-02T20:00:00,165,90,112,0
2023-07-30T17:00:00,2800,174,Morning,,,,113,0
2023-07-29T22:00:00,2800,177,Afternoon,,,,114,0
2023-07-29T20:00:00,2800,179,Noon,2023-05-01T20:00:00,165,90,115,0
2023-07-29T17:00:00,2800,187,Morning,,,,116,0
2023-07-28T22:00:00,2800,171,Afternoon,,,,117,0
2023-07-28T20:00:00,2800,168,Noon,2023-04-30T20:00:00,164,90,118,0
2023-07-28T17:00:00,2800,168,Morning,,,,119,0
2023-07-27T22:00:00,2800,179,Afternoon,,,,120,0
2023-07-27T20:00:00,2800,165,Noon,2023-04-29T20:00:00,164,90,121,0
2023-07-27T17:00:00,2800,165,Morning,,,,122,0
